@relation TestInstances

@attribute room {badklein,gang,badgross,gangeingang,tobias,joel}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric
@attribute mean numeric
@attribute rssVariance0 numeric
@attribute rssVariance1 numeric
@attribute rssVariance2 numeric
@attribute rssVariance3 numeric
@attribute rssVariance4 numeric
@attribute rssVariance5 numeric
@attribute rssVariance6 numeric
@attribute rssVariance7 numeric

@data
badklein,22,-41,-55,-73,-85,-85,-85,-85,-85,-85,-79.75,-24.75,-6.75,5.25,5.25,5.25,5.25,5.25,5.25
badklein,22,-41,-55,-69,-85,-85,-85,-85,-85,-85,-79.25,-24.25,-10.25,5.75,5.75,5.75,5.75,5.75,5.75
badklein,23,-40,-55,-69,-85,-85,-85,-85,-85,-85,-79.25,-24.25,-10.25,5.75,5.75,5.75,5.75,5.75,5.75
badklein,23,-40,-55,-73,-89,-89,-89,-89,-89,-89,-82.75,-27.75,-9.75,6.25,6.25,6.25,6.25,6.25,6.25
badklein,24,-40,-55,-73,-89,-89,-89,-89,-89,-89,-82.75,-27.75,-9.75,6.25,6.25,6.25,6.25,6.25,6.25
badklein,25,-39,-55,-73,-89,-89,-89,-89,-89,-89,-82.75,-27.75,-9.75,6.25,6.25,6.25,6.25,6.25,6.25
badklein,25,-39,-55,-72,-89,-89,-89,-89,-89,-89,-82.625,-27.625,-10.625,6.375,6.375,6.375,6.375,6.375,6.375
badklein,26,-38,-55,-72,-89,-89,-89,-89,-89,-89,-82.625,-27.625,-10.625,6.375,6.375,6.375,6.375,6.375,6.375
badklein,26,-39,-55,-72,-89,-89,-89,-89,-89,-89,-82.625,-27.625,-10.625,6.375,6.375,6.375,6.375,6.375,6.375
badklein,26,-39,-56,-72,-89,-89,-89,-89,-89,-89,-82.75,-26.75,-10.75,6.25,6.25,6.25,6.25,6.25,6.25
badklein,26,-39,-58,-71,-89,-89,-89,-89,-89,-89,-82.875,-24.875,-11.875,6.125,6.125,6.125,6.125,6.125,6.125
badklein,27,-38,-58,-71,-89,-89,-89,-89,-89,-89,-82.875,-24.875,-11.875,6.125,6.125,6.125,6.125,6.125,6.125
badklein,26,-39,-58,-71,-89,-89,-89,-89,-89,-89,-82.875,-24.875,-11.875,6.125,6.125,6.125,6.125,6.125,6.125
badklein,26,-39,-58,-78,-89,-89,-89,-89,-89,-89,-83.75,-25.75,-5.75,5.25,5.25,5.25,5.25,5.25,5.25
badklein,26,-40,-58,-78,-89,-89,-89,-89,-89,-89,-83.75,-25.75,-5.75,5.25,5.25,5.25,5.25,5.25,5.25
badklein,27,-40,-58,-78,-89,-89,-89,-89,-89,-89,-83.75,-25.75,-5.75,5.25,5.25,5.25,5.25,5.25,5.25
badklein,26,-41,-58,-78,-89,-89,-89,-89,-89,-89,-83.75,-25.75,-5.75,5.25,5.25,5.25,5.25,5.25,5.25
badklein,25,-42,-58,-78,-89,-89,-89,-89,-89,-89,-83.75,-25.75,-5.75,5.25,5.25,5.25,5.25,5.25,5.25
badklein,23,-43,-58,-78,-89,-89,-89,-89,-89,-89,-83.75,-25.75,-5.75,5.25,5.25,5.25,5.25,5.25,5.25
badklein,23,-43,-58,-82,-89,-89,-89,-89,-89,-89,-84.25,-26.25,-2.25,4.75,4.75,4.75,4.75,4.75,4.75
badklein,21,-45,-58,-82,-89,-89,-89,-89,-89,-89,-84.25,-26.25,-2.25,4.75,4.75,4.75,4.75,4.75,4.75
badklein,22,-45,-58,-82,-89,-89,-89,-89,-89,-89,-84.25,-26.25,-2.25,4.75,4.75,4.75,4.75,4.75,4.75
badklein,22,-46,-58,-82,-89,-89,-89,-89,-89,-89,-84.25,-26.25,-2.25,4.75,4.75,4.75,4.75,4.75,4.75
badklein,22,-46,-58,-71,-89,-89,-89,-89,-89,-89,-82.875,-24.875,-11.875,6.125,6.125,6.125,6.125,6.125,6.125
badklein,20,-47,-58,-71,-89,-89,-89,-89,-89,-89,-82.875,-24.875,-11.875,6.125,6.125,6.125,6.125,6.125,6.125
badklein,19,-47,-58,-71,-89,-89,-89,-89,-89,-89,-82.875,-24.875,-11.875,6.125,6.125,6.125,6.125,6.125,6.125
badklein,21,-47,-58,-71,-89,-89,-89,-89,-89,-89,-82.875,-24.875,-11.875,6.125,6.125,6.125,6.125,6.125,6.125
badklein,21,-47,-56,-72,-89,-89,-89,-89,-89,-89,-82.75,-26.75,-10.75,6.25,6.25,6.25,6.25,6.25,6.25
badklein,18,-48,-56,-72,-89,-89,-89,-89,-89,-89,-82.75,-26.75,-10.75,6.25,6.25,6.25,6.25,6.25,6.25
badklein,18,-48,-56,-70,-89,-89,-89,-89,-89,-89,-82.5,-26.5,-12.5,6.5,6.5,6.5,6.5,6.5,6.5
badklein,19,-48,-56,-70,-89,-89,-89,-89,-89,-89,-82.5,-26.5,-12.5,6.5,6.5,6.5,6.5,6.5,6.5
badklein,20,-48,-56,-70,-89,-89,-89,-89,-89,-89,-82.5,-26.5,-12.5,6.5,6.5,6.5,6.5,6.5,6.5
badklein,22,-48,-56,-70,-89,-89,-89,-89,-89,-89,-82.5,-26.5,-12.5,6.5,6.5,6.5,6.5,6.5,6.5
badklein,21,-48,-56,-70,-89,-89,-89,-89,-89,-89,-82.5,-26.5,-12.5,6.5,6.5,6.5,6.5,6.5,6.5
badklein,22,-49,-56,-70,-89,-89,-89,-89,-89,-89,-82.5,-26.5,-12.5,6.5,6.5,6.5,6.5,6.5,6.5
badklein,20,-50,-56,-70,-89,-89,-89,-89,-89,-89,-82.5,-26.5,-12.5,6.5,6.5,6.5,6.5,6.5,6.5
badklein,20,-50,-56,-80,-89,-89,-89,-89,-89,-89,-83.75,-27.75,-3.75,5.25,5.25,5.25,5.25,5.25,5.25
